ISBN,Book-Author,Year-Of-Publication
51717,michelle jerott,2001
51718,cheryln biggs,1998
51722,eoin colfer,2003
51731,fern kupfer,1991
51732,a. c. doyle,1999
51734,l. m. boston,1989
51736,terry pratchett,1994
51737,henry james,1996
51742,peter cameron,1998
51745,tom wolfe,2001
51746,timothy findley,2002
51748,salman rushdie,2000
51752,diana wynne jones,1999
51758,marilyn wann,1999
51762,casey miller,1981
51764,ron fry,1994
51766,jeffrey j. mayer,1999
51767,james herriot,1980
51768,charlotte bingham,1996
51769,charles dickens,1985
51770,louisa may alcott,2004
51771,joan lindsay,1986
51772,carl hiaasen,1989
51773,farley mowatt,1988
51774,roy blount jr.,2002
51777,sue townsend,2003
51778,sue townsend,0
51779,roald dahl,1964
51780,stephen king,1996
51781,stephen king,1996
51784,nora roberts,2002
51786,nora roberts,2000
51791,j.d. robb,1999
51792,robin barker,2002
51798,joshua piven,2002
51799,"bryan"", e.,"" ph.d. robinson",2000
51804,robert devereaux,2003
51806,stan cutler,1994
51809,susan wilson,2001
51814,shirlee busbee,1984
51820,stephen hunter,1996
51825,alfred birnbaum,1993
51830,catherine cookson,1975
51846,penny stanway,1996
51847,mary renfrew,2000
51848,frances sherwood,1993
51857,joyce carol oates,2002
51859,ian mcewan,1994
51860,roberta gellis,1983
51863,anne bronte,1994
51873,edgar rice burroughs,1993
51874,ann dunnewold,1994
51875,norma j. bumgarner,1982
51877,sandra lang,1996
51885,howard reid,2001
51887,jose saramago,1999
51888,deric longden,1993
51895,alice d. domar,1996
51896,thomas harris,0
51898,nancy friday,1997
51902,lillian too,1999
51903,reay tannahill,2002
51904,colin dexter,1996
51905,colin dexter,1996
51906,david baddiel,1997
51907,p.d. james,2001
51908,vladimir nabokov,0
51909,a. w reed,1999
51910,steve biddulph,2003
51911,steve biddulph,1998
51912,deborah jackson,1993
51914,jenny mosley,1998
51922,chris mclaughlin,1997
51923,judy graham,1988
51924,william sears,1992
51925,william sears md,1995
51926,sheila kitzinger,2001
51928,pinky mckay,2000
51929,colin bateman,2002
51932,pamela haines,1984
51934,pamela haines,1981
51939,julie morgenstern,2000
51944,cecilia dart-thornton,2003
51945,cecilia dart-thornton,2003
51946,jeffrey deaver,2003
51947,fiona giles,2003
51949,faye kellerman,1998
51950,j. r. r. tolkien,2001
51951,jonathan kellerman,2003
51952,jonathan kellerman,2003
51955,jonathan kellerman,2003
51956,sheila kitzinger,1978
51957,jennifer rowe,1993
51959,william stuart long,1984
51960,william stuart long,1983
51961,oscar wilde,1999
51964,bryce courtenay,0
51965,bryce courtenay,1999
51966,fannie flagg,1997
51968,pamela belle,1986
51970,pamela belle,1985
51971,bradley trevor greive,2001
51973,john milton,1996
51975,elinor lipman,1996
51981,rosamunde pilcher,2000
51982,overeaters anonymous,1991
51984,edward rutherfurd,1997
51986,iyanla vanzant,1999
51988,p.d. james,2001
51989,kate chynoweth,2003
51991,agatha christie,2004
51992,jane r. hirschmann,1997
51993,linda fraser,2001
51995,robert f o'connell,1969
51997,kerry greenwood,1992
51998,alan l. mcginnis,1979
51999,kerry greenwood,1993
52000,kerry greenwood,1995
52002,stephanie winston,1991
52006,anne mustoe,2002
52007,joy wilt berry,1978
52009,reader's digest,1986
52019,jennifer knapp,2001
52020,f. paul wilson,1993
52026,c.j. carmichael,2002
52030,bertrand russell,1961
52031,bill o'reilly,2003
52037,dashiell hammett,1972
52042,peter biskind,1998
52043,dave eggers,2003
52044,amulya malladi,2003
52045,edward p. moser,1996
52052,teran kathyn collins,1999
52056,james l. paris,1997
52057,mary hunt,1996
52059,alastair macgregor,1988
52060,lynn schooler,2002
52062,betty miles,2000
52068,james hilton,1983
52071,marilyn reynolds,1999
52079,lou marinoff,2001
52080,lavyrle spencer,1990
52081,paul zindel,1984
52082,francine pascal,1985
52083,neal stephenson,2000
52085,f. paul wilson,1998
52086,gary braver,2001
52091,roger zelazny,1992
52093,daniel woodrell,1996
52097,mary downing hahn,1990
52098,james axler,2002
52100,andrew weil,1997
52105,elizabeth warnock fernea,1969
52108,linda lael miller,1995
52111,louisa may alcott,1983
52112,national catholic news service,1984
52120,austin j. freeley,1999
52128,alex haley,1994
52131,malcolm x,1992
52132,william shakespeare,1992
52133,robert louis stevenson,1989
52134,elizabeth d. schafer,2000
52135,j. k. rowling,1999
52137,j. k. rowling,1999
52139,sharon moore,1999
52140,david colbert,2001
52141,ian banks,0
52145,isaac asimov,1988
52157,mark wilson,1991
52162,david bischoff,1994
52164,s. d. perry,1996
52165,yvonne navarro,1996
52166,robert sheckley (adapter),1995
52167,sandy schofield,1995
52168,cherrie moraga,1984
52182,diana hacker,2000
52183,farley mowat,1984
52186,kelly reno,2000
52205,peter mayle,2002
52212,patricia quintana,1986
52216,marilyn wallace,1990
52217,nancy taylor rosenberg,1994
52220,arthur miller,1998
52225,burt shevelove,1991
52234,mark mathabane,1995
52242,l. frank baum,2001
52243,lao tzu,1972
52246,arthur miller,1999
52253,bertolt brecht,1994
52254,gabriel rotello,1998
52262,dave finnigan,1991
52264,rick desrochers,1995
52266,william ball,1984
52267,thomas moore,1994
52268,kurt daw,1997
52270,nellie mccaslin,1999
52272,philip bernardi,1992
52275,william shakespeare,1985
52278,w. s. gilbert,1986
52281,william  shakespeare,2000
52282,william shakespeare,1999
52283,roger karshner,1991
52285,laura doyle,2001
52286,gene a. getz,1984
52288,mary lambert,2001
52289,joyce l. vedral,1994
52291,susan j. samtur,1985
52294,peter weiss,2001
52297,gary smalley,2001
52298,sir arthur conan doyle,1998
52299,beth kobliner,2000
52301,ben bova,1989
52302,christopher golden,1999
52304,scott cunningham,1991
52305,stephen g. michaud,2000
52310,doreen orion,1998
52311,poppy z. brite,1995
52314,jared m. diamond,1998
52317,hakan nesser,2001
52324,sandy ransford,1996
52326,crockett johnson,1993
52330,q. l. pearce,1995
52332,isa schikorsky,1998
52333,marguerite de angeli,1990
52337,john r. erickson,1998
52338,william steig,1985
52342,isabel allende,1989
52344,andrej kurkow,2000
52345,konrad spindler,1995
52346,rita mae brown,2001
52349,elizabeth george,1996
52351,lauraine snelling,2002
52354,katherine greyle,2001
52355,kai meyer,2001
52356,victor milan,1995
52359,walter moers,1999
52360,mark  ravina,2003
52363,larry niven,2003
52369,david weber,1992
52370,john steakley,1990
52372,alexandre dumas,1998
52374,l. e. modesitt jr.,1991
52376,rick shelley,2001
52377,john darnton,1998
52378,italo svevo,2002
52379,orson scott card,1997
52382,akif pirincci,1989
52384,ina freiwald,2000
52385,edna mazya,2001
52386,werner fuld,2000
52397,donald a. stanwood,1979
52399,douglas adams,1989
52400,brian lumley,1988
52402,ayn rand,1992
52407,thomas brussig,2001
52411,gail sheehy,1984
52420,primo levi,1995
52421,sara nomberg-przuytyk,1985
52432,julie beard,2003
52435,katherine o'neal,2003
52442,nicole byrd,2004
52445,lorraine heath,2004
52448,paul j. mcauley,1997
52449,geralyn dawson,2004
52450,lori foster,2004
52454,patti berg,2004
52458,karen fox,2001
52459,kay hooper,1982
52460,shaun hutson,1992
52461,susan andersen,2004
52463,kate angell,2004
52464,p.c. hodgell,1987
52465,laura moore,2003
52467,j. r. r. tolkien,1984
52468,jayne ann krentz,1993
52470,karen robards,2003
52476,millie criswell,1998
52478,suzanne macpherson,2004
52480,gino pugnetti,1980
52482,roxanne st. claire,2003
52485,elda minger,2002
52486,jessica bird,2004
52488,jessica bird,2004
52490,bertrice small,2000
52491,nancy herkness,2004
52493,erica spindler,2002
52497,lori foster,2004
52498,susan mallery,2001
52501,candace camp,2000
52502,banana yoshimoto,1995
52504,maya angelou,1997
52506,fiona hood-stewart,2004
52508,beverly brandt,2004
52510,janet chapman,2004
52512,susan mallery,2001
52515,mary kay andrews,2004
52516,suzanne enoch,2004
52522,annie solomon,2003
52523,cheryl holt,2003
52524,dick francis,1989
52526,susan mallery,2003
52530,patti berg,2003
52533,colleen o'shaughnessy mckenna,1992
52537,lorraine heath,2003
52538,brenda jackson,2004
52539,tamara sneed,2004
52541,shannon mckenna,2003
52542,karen white,2002
52544,lori handeland,2001
52545,linda devlin,2001
52546,lori handeland,2001
52548,linda devlin,2001
52549,lori handeland,2002
52550,linda devlin,2002
52551,stephanie james,1985
52552,stephen fry,2003
52553,claudia dain,2003
52555,susan mallery,2003
52556,kat martin,2004
52557,yoshiyuki sadamoto,1999
52558,lynda curnyn,2004
52559,bobby hutchinson,2002
52562,judi mccoy,2004
52568,jaid black,2004
52569,stella cameron,2002
52570,brenda jackson,2003
52573,hailey north,1998
52575,casey claybourne,2000
52576,karen young,2004
52577,terry pratchett,1999
52578,lori foster,2001
52580,robert harris,1994
52581,roald. dahl,1997
52582,lori foster,2002
52587,tom sharpe,0
52588,anna jeffrey,2004
52590,marya montero,1997
52595,hellmuth karasek,2000
52596,michele jaffe,2003
52597,gardner mckay,2001
52598,nicole jordan,1990
52599,david ambrose,2003
52600,laura lee guhrke,2004
52601,judith ivory,1999
52602,linda lael miller,2001
52604,lora kenton,2002
52607,hailey north,2001
52609,suzanne brockmann,2003
52611,robin schone,2000
52613,lauren bach,2001
52622,bethany campbell,1990
52624,sherry lewis,1999
52628,jim miller,2000
52631,linda howard,1986
52634,diana palmer,1984
52637,marie ferrarella,2003
52638,laura wright,2002
52641,hope tarr,2002
52643,jenny carroll,2001
52644,karen ranney,2000
52646,jenny carroll,2000
52647,jean saunders,1997
52649,peter bowler,1985
52651,erin mccarthy,2003
52652,pam rosenthal,2003
52653,christopher castellani,2004
52654,julie kenner,2000
52660,millie criswell,2003
52663,charlotte hughes,1986
52664,willo davis roberts,1996
52668,jill winters,2003
52669,michael a. stackpole,1998
52670,roger macbride allen,1998
52672,roger macbride allen,1998
52673,mary lynn baxter,1997
52674,karen templeton,2004
52675,r. l. stine,1996
52676,kirstin hill,2003
52679,nancy gideon,1998
52680,gloria whelan,1996
52681,diana palmer,1994
52687,charlotte hughes,1996
52689,jane feather,1993
52690,fayrene preston,1988
52691,elizabeth atkins bowman,2001
52693,gwynne forster,1999
52696,pamela kaufman,2002
52698,salley vickers,2002
52699,janet evanovich,1988
52700,sarah blake,2001
52702,tamora pierce,2002
52703,julie ortolon,2004
52704,tamora pierce,2003
52705,susan johnson,2004
52707,francesca lia block,2000
52709,susan johnson,2003
52710,tamora pierce,2000
52711,tamora pierce,2000
52712,kimberly raye,2004
52713,mary balogh,1999
52714,donna jo napoli,2002
52715,sabrina jeffries,2003
52717,jan hudson,1998
52719,cynthia voigt,1999
52720,brenda jackson,1998
52723,peter dickinson,1990
52724,brenda jackson,2003
52725,tamora pierce,1999
52726,janelle denison,2003
52727,ann rinaldi,2000
52728,anne rivers siddons,1984
52729,liz berry,1999
52730,cheryl holt,2003
52732,paulette jiles,2003
52733,linda francis lee,2001
52735,nicole jordan,2003
52736,rosalind miles,2003
52737,lisa plumley,2003
52743,alexandre dumas,2000
52747,pam rosenthal,2004
52748,mackenzie taylor,2002
52750,corey mcfadden,2003
52751,john neufeld,1995
52752,fredrica alleyn,1995
52755,linda howard,1996
52756,maggie osborne,1997
52757,vivienne lafay,1997
52759,laura renken,2001
52761,cathy maxwell,2001
52762,ida vos,2000
52763,emma holly,2001
52764,leanne banks,2003
52765,emily hendrickson,1999
52766,nancy lawrence,1999
52768,cathy yardley,2002
52769,mary lynn baxter,1995
52771,karen templeton,2001
52772,maggie osborne,1994
52773,susan crain bakos,1995
52774,lindsay mckenna,2001
52780,lois greiman,1998
52781,julia quinn,1992
52783,lisa jackson,1985
52785,ann major,2003
52787,linda warren,1996
52788,wayne barton,1997
52789,christiane heggan,1998
52793,kelly james-enger,2003
52794,judith o'brien,1997
52795,stephanie bond,2003
52797,cherry adair,2000
52798,lee smith,2003
52799,mary lynn baxter,2003
52801,marion zimmer bradley,1995
52802,patricia veryan,1988
52803,patricia veryan,1991
52804,jeanie london,2002
52806,betty neels,1997
52807,sandra canfield,1996
52809,monica white,1998
52812,georgette heyer,1992
52813,marion chesney,1995
52815,diana brown,1984
52817,lee foster,1995
52818,barbara hazard,1996
52819,sandy hingston,1998
52821,jack canfield,1999
52822,michele jaffe,2001
52823,bernard werber,1992
52824,elmore leonard,1995
52825,donna kauffman,2003
52826,elizabeth lowell,1991
52827,john kennedy toole,1994
52828,nora roberts,1985
52829,nora roberts,1993
52830,justine dare,1999
52831,karen templeton,2003
52832,beverly barton,2001
52833,tess mallory,2001
52835,vivienne lafay,1997
52836,sarah hope-walker,1995
52838,katrina vincenzi-thyne,1995
52839,merline lovelace,1998
52842,kate hoffmann,1994
52843,julie campbell,1977
52845,anne stuart,1988
52846,alison kent,2002
52850,don pendleton,1992
52851,jo leigh,1999
52853,robert jordan,1996
52855,fayrene preston,1996
52856,fayrene preston,1996
52858,kate little,2002
52859,douglas adams,1982
52860,diana stuart,1985
52863,tom maresca,1992
52865,nikki donovan,2002
52866,tori carrington,2001
52869,sheri whitefeather,2003
52872,betty neels,1997
52874,jo leigh,1998
52876,diana palmer,1988
52877,valerie steele,1995
52878,maggie osborne,1998
52879,douglas adams,1993
52882,debbie macomber,1986
52883,karen fox,1997
52884,jan spiller,1988
52885,diana palmer,1993
52886,nora roberts,1986
52890,sarah mlynowski,2003
52892,heather graham pozzessere,1988
52893,marion zimmer bradley,1999
52894,lori foster,2002
52896,betty neels,2003
52897,lois greiman,1999
52898,charlotte hughes,1996
52900,diana palmer,1991
52904,douglas adams,1991
52905,louisa may alcott,1992
52907,tina grube,1995
52908,jonathan vankin,1999
52909,andy wachowski,2003
52910,diane carey,1999
52914,madeleine l'engle,1987
52915,robert l. park,2000
52916,aki katsu,2003
52918,david mack,2001
52920,michael a. stackpole,2000
52921,william shakespeare,1997
52922,fred gallagher,2003
52923,robin hobb,2002
52924,joseph conrad,1984
52925,david mack,2001
52926,bruce coville,1992
52927,gordon korman,1995
52928,anne mccaffrey,1979
52930,jeff smith,1996
52933,kenichi sonoda,2000
52934,kenichi sonoda,2001
52938,kevin j. anderson,1997
52939,kevin j. anderson,1998
52940,john irving,1994
52941,kevin j. anderson,1996
52942,kevin j. anderson,1996
52943,kevin j. anderson,1995
52944,antonia white,1980
52945,kristine kathryn rusch,1997
52947,aaron allston,1999
52949,barbara hambly,1996
52950,robert scott,2002
52951,aaron allston,1999
52952,lesley downer,1993
52953,michael a. stackpole,1996
52954,michael a. stackpole,1998
52956,peter schweighofer,1999
52957,james st. james,2003
52959,nathaniel harris,1997
52960,kenichi sonoda,2002
52961,timothy freke,1997
52962,kenichi sonoda,2002
52964,nancy farmer,1994
52965,eric bogosian,2001
52966,orson scott card,2002
52970,pamela duncan,2001
52971,isaac asimov,1993
52976,paul kunkel,1991
52979,frank o'hara,1964
52980,henry beard,1998
52983,lauren f. winner,2002
52988,max lucado,2000
52995,brennan manning,1990
53002,susan elizabeth phillips,2004
53004,susan elizabeth phillips,1995
53008,sarah ban breathnach,2002
53010,sara midda,1990
53016,christopher s. wren,2000
53032,karen katafiasz,1995
53037,susanna kaysen,2001
53040,kim france,2003
53044,harry davis,2000
53048,al ries,1994
53049,emily dickinson,1993
53057,sarah vowell,2002
53066,kristin hannah,1994
53090,jennifer weiner,2001
53093,bill o'reilly,2001
53096,john c. maxwell,1998
53108,willa cather,2000
53109,catherine jinks,2002
53110,minette walters,1998
53120,mark twain,1998
53122,lowell cauffiel,2001
53124,carlton smith,2001
53125,robert bloch,1983
53126,susan travers,2003
53131,william heinesen,1978
53132,jean sasson,2001
53135,marian wright edelman,1992
53136,william boyd,1993
53152,richard f. newcomb,2001
53162,ken follett,2000
53186,gyorgy dalos,1984
53193,jean toomer,1993
53200,shana abe,2004
53204,margaret moore,2002
53209,annette blair,2003
53210,kinley macgregor,2002
53211,ariel dorfman,1983
53212,elizabeth keys,2003
53214,william shakespeare,2003
53216,jen holling,2002
53217,helge schneider,2001
53221,judi mccoy,2004
53224,claudia dain,2001
53225,stobie piel,2001
53227,cynthia thomason,1999
53230,alexis harrington,1995
53231,catherine asaro,2004
53236,kathleen nance,2003
53237,laura marie altom,2003
53238,judie aitken,2003
53240,susan squires,2003
53241,c. j. barry,2003
53242,eric marcus,2003
53243,stella cameron,2001
53245,emily carmichael,2001
53252,ann granger,1993
53253,john dufresne,1998
53254,ruth langan,1998
53257,marilyn wallace,2000
53259,amanda scott,2003
53260,paul auster,2003
53262,kinley macgregor,2003
53263,jude deveraux,1991
53265,jude deveraux,1982
53267,jude deveraux,1985
53268,emma holly,2003
53269,jo beverley,2003
53272,tracy cozzens,2003
53274,nora roberts,2003
53275,lynn abbey,2001
53276,kate forsyth,2001
53278,lisa kleypas,2003
53280,jeanie london,2003
53285,elizabeth peters,1988
53289,carla neggers,1999
53292,jayne ann krentz,1998
53294,bonnie tucker,2003
53295,jasmine cresswell,2002
53296,liz poole,2001
53300,catherine archer,1998
53303,julia hanlon,2000
53307,jasmine cresswell,2000
53309,tracy cozzens,2003
53311,karen fox,2003
53316,marlissa moon,2003
53317,jasmine cresswell,1995
53322,madeline baker,1996
53323,victoria holt,1996
53326,vivian knight jenkins,2003
53327,ann lawrence,1999
53328,alex garland,2000
53330,ann lawrence,2002
53333,alice duncan,2003
53335,beatrice small,2003
53338,linda fallon,2003
53340,marylyle rogers,1991
53341,flora speer,1999
53344,marylyle rogers,1994
53345,hannah howell,2002
53346,catherine archer,2002
53354,paul di filippo,1998
53358,gananath obeyesekere,1984
53360,burton raffel,1995
53363,anton szandor lavey,1976
53366,lila abu-lughod,1993
53370,italo calvino,1978
53372,petra hammesfahr,2002
53373,andrea paluch,2003
53374,lawrence watt-evans,2000
53380,noel perrin,1995
53382,ralph waldo emerson,2000
53383,frank mccourt,1999
53399,jimmy breslin,1997
53402,rich hatch,2000
53403,clive cussler,2000
53407,matthew branton,1999
53408,stephen king,1998
53416,will davenport,2003
53427,harvard lampoon staff,1993
53428,mark leyner,1993
53432,julie aigner-clark,2001
53436,jeannette sanderson,1995
53440,tiziano terzani,2003
53444,paul theroux,1990
53446,kathrin schmidt,2000
53448,herman i. neuman,2002
53450,elsa osorio,2002
53457,robert mcliam wilson,1999
53462,"hal a."","" dr. huggins",1993
53464,thomas toivi blatt,1997
53479,barbara hambly,1993
53481,christopher campbell-howes,2002
53490,joel andreas,2002
53495,paul gallico,1963
53498,wendell berry,1994
53501,laurie notaro,2004
53504,rupa bajwa,2004
53508,paul theroux,2000
53511,rafael seligmann,1998
53513,horst bosetzky,1997
53514,simon bond,1988
53516,friedrich christian delius,1998
53518,ingo schulze,1998
53519,hans otto meissner,1979
53520,lewis grizzard,1984
53534,lester goran,1996
53537,david rakoff,2002
53553,patricia a. mckillip,2004
53558,lawrence larose,2004
53562,noam chomsky,1999
53567,janet greeson,1991
53569,suzanne strempek shea,2004
53570,joan mellen,1991
53573,nancy holder,2000
53574,lori summer,2001
53577,esther wanning,1991
53578,tim green,2003
53582,john baxter,2003
53583,bruce felton,2004
53590,fiona giles,2000
53591,arthur agatston,2003
53594,pramoedya ananta toer,1996
53598,jim hightower,2001
53599,don delillo,1992
53600,robert olen butler,1997
53601,roger fouts,1997
53603,pramoedya ananta toer,1996
53605,maxx barry,1999
53609,mark kurlansky,2001
53613,larry niven,1988
53614,celia rees,2001
53615,piers anthony,1984
53618,c. j. cherryh,2002
53620,david brin,1996
53623,janet morris,1986
53624,po bronson,2003
53626,c. j. cherryh,1996
53635,gary paulsen,2003
53636,mark twain,1997
53637,yasmina khadra,2004
53639,isaac asimov,1994
53640,ernest drake,2003
53642,catherine coulter,1995
53650,w. john campbell,2001
53652,william tenn,2001
53656,corby kummer,2002
53658,jana kolpen,1996
53661,dave barry,2003
53663,jonathan lethem,1995
53665,lisa carey,2004
53666,barbara hambly,1998
53667,bob regan,2004
53668,lori lansens,2002
53670,clive cussler,2002
53671,paul auster,1999
53675,tonya lewis lee,2004
53680,george takei,1994
53682,spider robinson,2001
53687,paul zindel,1984
53689,roddy doyle,1996
53691,fiona buckley,1997
53693,bernard grun,1991
53699,maureen mckade,2000
53700,alfred znamierowski,1999
53702,julie beard,1997
53714,richard herman,1991
53723,catherine coulter,1991
53729,jennifer paddock,2004
53738,lisa boyer,2002
53742,burton jay nadler,2003
53744,helen dorman,2003
53745,helen dorman,2003
53746,helen dorman,2003
53747,kurt vonnegut,1999
53748,helen dorman,2003
53750,nitya lacroix,2003
53757,ernest hemingway,1929
53764,maurice. sagoff,1980
53769,susan griffin,2002
53771,madeleine wickham,2002
53779,robert olmstead,1997
53780,geoff ryman,1998
53786,shakti gawain,1985
53790,nathan schwartz-salant,1986
53794,alessandro boffa,2003
53799,tony chen,1991
53801,dan mcnichol,2000
53808,phyllis balch,2000
53809,isaac asimov,2003
53812,chogyam trungpa,2003
53815,jalal al-din rumi,2001
53818,joy williams,2000
53819,valerie frankel,2004
53820,and cartographic,0
53822,joyce robins,1992
53823,john haywood ph.d.,2000
53829,catherine e. hoyser,1997
53830,melanie rawn,1988
53832,laura klotz,2003
53833,michael dorris,1997
53835,ronald b. shwartz,2000
53837,richard bach,1999
53842,henry petroski,2000
53845,liz greene,2000
53851,suzy  gershman,2002
53852,liz maverick,2004
53855,marilyn french,1986
53856,james conroyd martin,2003
53862,charles taylor,1992
53863,jean-francois revel,2000
53864,bill mclain,2000
53866,brooke medicine eagle,1991
53867,anthony trollope,1995
53869,hugh gregory,1998
53870,robert charles wilson,2001
53874,nicholas hooper,1996
53875,adelma grenier simmons,1992
53876,carol rose,2001
53878,mary wollstonecraft shelley,1994
53883,william s. appleton,1981
53885,kurt vonnegut,1997
53886,mari winsor,1999
53893,kathleen mccormack,1998
53894,philippe tapon,2000
53895,angeles arrien,0
53897,ted andrews,1995
53899,claire kowalchik,2000
53900,tony hawks,2001
53904,paul s. collins,2002
53906,frank samuel caprio,1983
53908,james anderson,2003
53909,bhante y. wimala,1997
53915,george a. buttrick,1971
53916,caroline mckeldin,1993
53917,andrew wilson,1995
53918,louis bayard,2003
53921,simone weil,1997
53922,rhian ellis,2000
53923,noam chomsky,2002
53924,william nolan,2001
53925,david sedaris,2001
53928,w.h.c. frend,1986
53930,stanislav grof,1989
53932,sir george trevelyan,2003
53933,adam nicolson,2000
53941,rowan moore,2000
53942,alister e. mcgrath,2001
53943,tom robbins,1980
53945,ellis peters,1991
53946,andrew harvey,1999
53947,david farris,2003
53953,john arthur thomas robinson,1963
53956,pete dexter,2003
53957,swami sivananda radha,1996
53961,juan eduardo cirlot,1993
53962,maya angelou,1997
53965,rachel solar-tuttle,2002
53969,cathleen schine,2003
53972,samuel bercholz,1993
53974,chogyam trungpa,2002
53977,dan chernenko,2003
53980,lili wright,2002
53981,osho,2002
53982,cathy young,2002
53983,bhagwan shree rajneesh,1982
53984,c.j. tosh,2003
53985,maggie goswami,1995
53989,john matthews,1997
53992,mitch cullin,2001
53994,peter mayle,1994
53999,lynne sharon schwartz,1997
54008,tony rothman,1999
54009,marion zimmer bradley,1999
54011,gerald weissmann,1987
54012,willard f. harley jr.,2001
54013,alfred j. andrea,2000
54016,alex ross,2003
54024,lesley anne ivory,1998
54032,francis hodgins,1980
54035,,1973
54038,jim dodge,1987
54045,cornell woolrich,2001
54049,andrei makine,1998
54053,carol anshaw,1997
54061,david edmonds,2000
54063,nicholas shakespeare,2002
54070,diane duane,2001
54071,estelle monbrun,1995
54082,rebecca rothenberg,2001
54102,michael chabon,2003
54104,jonathan lethem,2003
54110,ethel johnston phelps,1979
54112,pramoedya ananta toer,1997
54127,jack kerouac,1987
54134,charles willeford,1985
54139,lauren belfer,2003
54142,dow mossman,2003
54146,zdenek sverak,1997
54147,robert d. san souci,2000
54156,amy tan,1998
54159,charles dickens,1985
54163,kazuaki tanahashi,1997
54165,cindy eppes,2002
54169,michael brown,0
54174,alan axelrod,1993
54180,stephen king,1994
54183,sheri holman,2003
54193,henry david thoreau,2000
54195,caroline knapp,2003
54200,anne mccaffrey,2003
54204,stephen r donaldson,1981
54206,elizabeth graver,2000
54207,jonathan nasaw,2003
54208,ryne douglas pearson,2000
54212,moosewood collective,1994
54219,terry pratchett,2003
54220,henry fielding,1967
54221,richard morgan,2003
54222,jeff noon,2000
54224,isak dinesen,1988
54225,milo manara,1994
54226,kelley armstrong,2002
54227,iris murdoch,1979
54231,thomas h. cook,2002
54233,andrew weil,2002
54237,susan fromberg schaeffer,1993
54238,walter abish,1974
54239,alex haley,1976
54240,anna pavord,2001
54241,david lodge,2000
54244,carmel bird,1991
54246,olivia judson,2003
54250,micah ian wright,2003
54253,eiji yoshikawa,1995
54261,tami hoag,1995
54264,stephen king,2003
54266,stephen king,2003
54267,stephen king,2003
54274,clive cussler,2004
54280,jasmine cresswell,2004
54281,cash peters,2003
54283,karen elizabeth gordon,1993
54284,clive cussler,1998
54285,john stauber,1995
54286,diana wynne jones,2001
54287,margaret weis,1986
54288,michael williams,1993
54290,douglas niles,1999
54291,mary kirchoff,1990
54293,paul b. thompson,1990
54295,bill bryson,2000
54297,donna leon,2003
54299,graham watkins,1998
54302,gordon korman,2001
54303,andrew neiderman,1990
54305,kip langello,1999
54306,patricia potter,2003
54307,l. ron hubbard,1988
54308,josie litton,2003
54309,l. ron hubbard,1990
54313,linda lael miller,1995
54314,erica spindler,2000
54319,betsey beaven,1984
54320,tony hillerman,1996
54323,j. k. rowling,2003
54324,sunset books,1995
54326,steven wheeler,1995
54327,sare van orsdell,2002
54328,clive cussler,2001
54329,james k. mcnair,1996
54338,annette sanford,2003
54339,tim lahaye,1999
54344,jonathan schell,1988
54345,tim lahaye,1997
54346,stephen hunter,2003
54347,tim lahaye,1996
54348,raija siekkinen,1987
54349,tim lahaye,1995
54354,foreign affairs,1999
54357,james h. cobb,2000
54358,bob sutcliffe,2001
54359,geoff mulgan,1998
54361,paul collins,2003
54363,orson scott card,1986
54364,steven raichlen,1995
54369,william gibson,2003
54372,susan elderkin,2001
54373,phil rickman,1995
54374,david guterson,2003
54375,charlotte bronte,1987
54386,cecily von ziegesar,2003
54397,galadriel waters,2003
54398,william golding,0
54403,boris akunin,2003
54410,shirley conran,1987
54417,elise blackwell,2003
54422,liza ketchum,2002
54426,tom robbins,2003
54435,jane austen,1990
54438,jerrilyn farmer,2003
54439,sophie powell,2003
54442,nicola barker,2000
54448,sharon kay penman,1998
54449,"baldassare"","" conte castiglione",1976
54450,joel l. schwartz,1992
54451,stephen king,1996
54456,heron carvic,1991
54458,michael frayn,2001
54460,adam gamble,1997
54464,niall williams,2002
54467,john wray,2002
54469,anthony o'neill,2003
54470,d. l. smith,2003
54473,tim dorsey,2003
54478,jo anne van tilburg,2003
54480,susan r. sloan,2002
54482,tom holt,2002
54484,ann cornelisen,1985
54486,laura dower,2001
54492,robert james waller,2003
54497,alison weir,1993
54498,kristen kammerer,1995
54500,gabr garcia marquez,0
54501,david ellwand,2002
54507,homer hickam,2000
54508,noam chomsky,2002
54511,george gordon byron,1996
54512,christopher morley,1983
54517,lucinda rosenfeld,2000
54518,roger zelazny,1995
54519,peter hernon,1999
54520,tibor fischer,1997
54522,julie jansen,2003
54523,david long,1998
54525,anne mustoe,2002
54532,beverly swerling,2002
54543,james d. houston,2002
54544,marcia keegan,1984
54551,homer,1992
54555,mark kurlansky,2001
54556,michael ondaatje,2000
54558,m. scott peck,1998
54560,jane austen,1996
54561,emily grayson,2003
54562,howard zinn,1999
54563,sarah bird,2002
54572,thelma barer-stein,1999
54574,brian tracy,2002
54577,walter r. brooks,1997
54579,walter r. brooks,1997
54581,jack prelutsky,1983
54582,eilean hooper-greenhill,1992
54583,kelley eskridge,2002
54584,readers digest,1994
54590,susie bright,2002
54593,stephen king,1983
54596,michael ondaatje,1997
54597,david holland,2000
54601,rob nelson,2000
54602,james herriot,1982
54608,leon garfield,1995
54615,david czuchlewski,2001
54619,david lodge,2001
54621,minette walters,2001
54636,mary wollstonecraft shelley,1998
54639,mark twain,1977
